"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"04726.no","04726.no","http://04726.no","","Gran Kommune","Oppland","Yes","dotgov","No","No","No","","","","","","No"
"0534.no","0534.no","http://0534.no","","Gran Kommune","Oppland","Yes","dotgov","No","No","No","","","","","","No"
"0728.no","0728.no","http://0728.no","","Lardal Kommune","Vestfold","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"0gran.no","0gran.no","http://0gran.no","","Gran Kommune","Oppland","Yes","dotgov","No","No","No","","","","","","No"
"10-13.no","10-13.no","https://www.10-13.no","","Høybråten, Fossum og Stovner Sokn","Oslo","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"100prosentrisor.no","100prosentrisor.no","http://100prosentrisor.no","","Risør Kommune","Aust-Agder","Yes","dotgov","No","No","No","","","","","","No"
"110-finnmark.no","110-finnmark.no","http://www.110-finnmark.no","","Hammerfest Kommune","Finnmark","No","dotgov","No","No","No","No","Yes","No","No","No","No"
"110-namsos.no","110-namsos.no","https://110-namsos.no","","Namsos Kommune","Nord-Trøndelag","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"110-saltenbrann.no","110-saltenbrann.no","https://110-saltenbrann.no","","Salten Brann Iks","Nordland","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"110-troms.no","110-troms.no","https://110-troms.no","","Tromsø Kommune","Troms","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"110-trondelag.no","110-trondelag.no","https://110-trondelag.no","","Trøndelag Brann- og Redningstjeneste Iks","Sør-Trøndelag","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"110agder.no","110agder.no","http://110agder.no","","Arendal Kommune","Aust-Agder","No","dotgov","No","No","No","","","","","","No"
"110telemark.no","110telemark.no","http://www.110telemark.no","","Skien Kommune","Telemark","No","dotgov","No","No","No","","","","","","No"
"11rumselev.no","11rumselev.no","http://www.11rumselev.no","","Elverum Kommune","Hedmark","No","dotgov","No","No","No","","","","","","No"
"12k.no","12k.no","http://12k.no","","Re Kommune","Vestfold","No","dotgov","No","No","No","","","","","","No"
"13-20.no","13-20.no","https://www.13-20.no","","Bærum Kirkelige Fellesråd","Akershus","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"1414.no","1414.no","http://1414.no","","Nordre Land Kommune","Oppland","No","dotgov","No","No","No","","","","","","No"
"1422.no","1422.no","http://www.1422.no","","Lærdal Kommune","Sogn og Fjordane","Yes","dotgov","No","No","No","No","Yes","No","No","No","No"
"1601.no","1601.no","http://1601.no","","Trondheim Kommune Kultur og Næring","Sør-Trøndelag","No","dotgov","No","No","No","","","","","","No"
"177troms.no","177troms.no","http://177troms.no","","Troms Fylkeskommune","Troms","Yes","dotgov","No","No","No","","","","","","No"
"1bo.no","1bo.no","http://1bo.no","","Kristiansand Kommune","Vest-Agder","Yes","dotgov","No","No","No","","","","","","No"
"2030stiklestad.no","2030stiklestad.no","http://2030stiklestad.no","","Stiklestad Nasjonale Kultursenter AS","Nord-Trøndelag","No","dotgov","No","No","No","","","","","","No"
"2isa.no","2isa.no","http://2isa.no","","Telemark Fylkeskommune","Telemark","No","dotgov","No","No","No","","","","","","No"
"31skoler.no","31skoler.no","http://31skoler.no","","Rogaland Fylkeskommune Opplæringsavdelingen","Rogaland","No","dotgov","No","No","No","","","","","","No"
"360alesund.no","360alesund.no","http://360alesund.no","","Ålesundregionens Havnevesen","Møre og Romsdal","No","dotgov","No","No","No","","","","","","No"
"365.fredrikstad.no","365.fredrikstad.no","http://365.fredrikstad.no","","Fredrikstad Kommune","Østfold","No","dotgov","No","No","No","No","Yes","Yes","Yes","Yes","No"
"3mil.no","3mil.no","http://3mil.no","","Nesodden Kommune","Akershus","No","dotgov","No","No","No","","","","","","No"
"aa-f.kommune.no","aa-f.kommune.no","http://www.aa-f.kommune.no","","","","Yes","dotgov","No","No","No","","","","","","No"
"aabk.no","aabk.no","http://www.aabk.no","","Aust-Agder Fylkeskommune","Aust-Agder","Yes","dotgov","No","No","No","","","","","","No"
"aafarnes.no","aafarnes.no","http://aafarnes.no","","Rauma Kommune","Møre og Romsdal","Yes","dotgov","No","No","No","","","","","","No"
"aafoss.no","aafoss.no","http://aafoss.no","","Skien Kommune","Telemark","Yes","dotgov","No","No","No","","","","","","No"
"aafylkeskommune.no","aafylkeskommune.no","http://aafylkeskommune.no","","Aust-Agder Fylkeskommune","Aust-Agder","Yes","dotgov","No","No","No","","","","","","No"
"aajege.no","aajege.no","https://aajege.no","","Sør-Trøndelag Fylkeskommune Fylkesrådmannen","Sør-Trøndelag","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"aakershagan.no","aakershagan.no","http://aakershagan.no","","Hedmark Ikt","Hedmark","Yes","dotgov","No","No","No","","","","","","No"
"aakersposten.no","aakersposten.no","http://aakersposten.no","","Stange Kommune","Hedmark","No","dotgov","No","No","No","","","","","","No"
"aakrafjorden.no","aakrafjorden.no","http://www.aakrafjorden.no","","Etne Kommune","Hordaland","No","dotgov","No","No","No","","","","","","No"
"aakrakirke.no","aakrakirke.no","http://aakrakirke.no","","Åkra Sokn","Rogaland","Yes","dotgov","No","No","No","","","","","","No"
"aakravgs.no","aakravgs.no","http://aakravgs.no","","Rogaland Fylkeskommune","Rogaland","No","dotgov","No","No","No","","","","","","No"
"aal.kommune.no","aal.kommune.no","http://www.aal.kommune.no","","","","No","dotgov","No","No","No","","","","","","No"
"aal52.no","aal52.no","http://aal52.no","","Ål Kommune","Buskerud","No","dotgov","No","No","No","","","","","","No"
"aalbibliotek.no","aalbibliotek.no","http://aalbibliotek.no","","Ål Kommune Kultursektor","Buskerud","Yes","dotgov","No","No","No","","","","","","No"
"aalenskisenter.no","aalenskisenter.no","https://aalenskisenter.no","","Holtålen Kommune","Sør-Trøndelag","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"aalkino.no","aalkino.no","http://aalkino.no","","Ål Kommunale Kino","Buskerud","Yes","dotgov","No","No","No","","","","","","No"
"aalkulturskule.no","aalkulturskule.no","http://www.aalkulturskule.no","","Ål Kommune","Buskerud","No","dotgov","No","No","No","","","","","","No"
"aamli.kommune.no","aamli.kommune.no","http://www.aamli.kommune.no","","","","Yes","dotgov","No","No","No","","","","","","No"
"aamotskule.no","aamotskule.no","http://www.aamotskule.no","","Vinje Kommune","Telemark","Yes","dotgov","No","No","No","","","","","","No"
"aandalsnes-barneskole.no","aandalsnes-barneskole.no","http://aandalsnes-barneskole.no","","Rauma Kommune","Møre og Romsdal","Yes","dotgov","No","No","No","","","","","","No"
"aanrud.no","aanrud.no","https://www.aanrud.no","","Gausdal Kommune","Oppland","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"aans.no","aans.no","https://www.aans.no","","Agder Ikt Driftssenter Iks","Aust-Agder","No","dotgov","No","Yes","No","","","","","","No"
"aapenfolkekirke.no","aapenfolkekirke.no","http://aapenfolkekirke.no","","Vågan Sokn","Nordland","Yes","dotgov","No","No","No","","","","","","No"
"aarviksandskole.no","aarviksandskole.no","http://aarviksandskole.no","","Skjervøy Kommune Kultur- og Undervisningsetat","Troms","No","dotgov","No","No","No","","","","","","No"
"aasanekirke.no","aasanekirke.no","http://aasanekirke.no","","Åsane Sokn","Hordaland","Yes","dotgov","No","No","No","","","","","","No"
"aasanemenighet.no","aasanemenighet.no","http://www.aasanemenighet.no","","Bergen Kirkelige Fellesråd","Hordaland","No","dotgov","No","No","No","","","","","","No"
"aasentunet.no","aasentunet.no","http://www.aasentunet.no","","Nynorsk Kultursentrum","Møre og Romsdal","No","dotgov","No","No","No","","","","","","No"
"abbv.no","abbv.no","https://www.abbv.no","","Asker og Bærum Brannvesen Iks","Akershus","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"abelloftet.no","abelloftet.no","http://abelloftet.no","","Oslo Kommune Bydel 8 Nordre Aker","Oslo","No","dotgov","No","No","No","","","","","","No"
"abmtoten.no","abmtoten.no","http://www.abmtoten.no","","Vestre Toten Kommune","Oppland","No","dotgov","No","No","No","","","","","","No"
"abvann.no","abvann.no","http://www.abvann.no","","Asker og Bærum Vannverk Iks","Akershus","No","dotgov","No","No","No","","","","","","No"
"adm-ivest.no","adm-ivest.no","http://adm-ivest.no","","Hordaland Fylkeskommune","Hordaland","No","dotgov","No","No","No","","","","","","No"
"adonde.no","adonde.no","http://adonde.no","","Midtre Namdal Samkommune","Nord-Trøndelag","No","dotgov","No","No","No","","","","","","No"
"adventsfestivalen.no","adventsfestivalen.no","http://adventsfestivalen.no","","Drammen Kirkelig Fellesråd","Buskerud","No","dotgov","No","No","No","","","","","","No"
"aekf.no","aekf.no","http://www.aekf.no","","Arendal Eiendom Kf","Aust-Agder","No","dotgov","No","No","No","","","","","","No"
"afjord.kommune.no","afjord.kommune.no","https://www.afjord.kommune.no","","","","No","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
