"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"02012.no","02012.no","http://www.02012.no","","Statens Vegvesen","","Yes","dotgov","No","No","No","","","","","","No"
"02030.no","02030.no","http://www.02030.no","","Statens Vegvesen","","Yes","dotgov","No","No","No","","","","","","No"
"02111.no","02111.no","http://02111.no","","Skatt Øst","","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"02233.no","02233.no","http://www.02233.no","","Statens Vegvesen","","Yes","dotgov","No","No","No","","","","","","No"
"04812.no","04812.no","http://04812.no","","Toll- og Avgiftsdirektoratet","","Yes","dotgov","No","No","No","","","","","","No"
"06640.no","06640.no","http://www.06640.no","","Statens Vegvesen","","Yes","dotgov","No","No","No","","","","","","No"
"110.no","110.no","http://www.110.no","","Direktoratet For Samfunnssikkerhet og Beredskap (Dsb)","","Yes","dotgov","No","No","No","","","","","","No"
"112.no","112.no","http://112.no","","Justis- og Beredskapsdepartementet","","Yes","dotgov","No","No","No","","","","","","No"
"113-midtnorge.no","113-midtnorge.no","http://www.113-midtnorge.no","","St Olavs Hospital Hf","","No","dotgov","No","No","No","","","","","","No"
"113.no","113.no","https://www.113.no","","Helsedirektoratet","","No","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"1700-tallet.no","1700-tallet.no","http://www.1700-tallet.no","","Universitetet I Oslo","","No","dotgov","No","No","No","Yes","No","No","No","No","No"
"175.no","175.no","http://www.175.no","","Statens Vegvesen","","Yes","dotgov","No","No","No","","","","","","No"
"2-tusen.no","2-tusen.no","http://2-tusen.no","","Statped","","No","dotgov","No","No","No","Yes","No","No","No","No","No"
"2282.no","2282.no","http://www.2282.no","","Statens Vegvesen","","Yes","dotgov","No","No","No","","","","","","No"
"22julikommisjonen.no","22julikommisjonen.no","http://22julikommisjonen.no","","Statsministerens Kontor","","Yes","dotgov","No","No","No","","","","","","No"
"22julisenteret.no","22julisenteret.no","http://22julisenteret.no","","Departementenes Sikkerhets- og Serviceorganisasjon (Dss)","","No","dotgov","No","No","No","","","","","","No"
"22julycentre.no","22julycentre.no","http://22julycentre.no","","Departementenes Sikkerhets- og Serviceorganisasjon (Dss)","","Yes","dotgov","No","No","No","","","","","","No"
"65pluss.no","65pluss.no","http://www.65pluss.no","","Statens Vegvesen","","Yes","dotgov","No","No","No","","","","","","No"
"800helse.no","800helse.no","http://800helse.no","","Helsedirektoratet","","No","dotgov","No","No","No","","","","","","No"
"a-ordningen.no","a-ordningen.no","http://a-ordningen.no","","Skatt Øst","","No","dotgov","No","No","No","","","","","","No"
"aad.dep.no","aad.dep.no","http://aad.dep.no","","","","No","dotgov","No","No","No","","","","","","No"
"abcpc.no","abcpc.no","http://www.abcpc.no","","Vox-Nasjonalt Fagorgan For Kompetansepolitikk","","No","dotgov","No","No","No","No","Yes","No","No","Yes","No"
"abup.no","abup.no","http://www.abup.no","","Sørlandet Sykehus Hf","","No","dotgov","No","No","No","","","","","","No"
"acdl.no","acdl.no","http://acdl.no","","Arkitektur og Designhøgskolen I Oslo Aho","","No","dotgov","No","No","No","","","","","","No"
"acm.no","acm.no","http://www.acm.no","","Statped","","No","dotgov","No","No","No","","","","","","No"
"acm1.no","acm1.no","http://acm1.no","","Statped","","No","dotgov","No","No","No","","","","","","No"
"acmollerskole.no","acmollerskole.no","http://www.acmollerskole.no","","Statped","","Yes","dotgov","No","No","No","","","","","","No"
"acredit.no","acredit.no","http://www.acredit.no","","Akershus Universitetssykehus Hf","","No","dotgov","No","No","No","","","","","","No"
"actingfestival.no","actingfestival.no","http://actingfestival.no","","Kunsthøgskolen I Oslo","","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"ad.dep.no","ad.dep.no","http://ad.dep.no","","","","Yes","dotgov","No","No","No","","","","","","No"
"addlab.no","addlab.no","http://addlab.no","","Høgskolen I Gjøvik","","No","dotgov","No","No","No","","","","","","No"
"adhd-behandlingslinje.no","adhd-behandlingslinje.no","http://adhd-behandlingslinje.no","","Sykehuset Østfold Hf","","Yes","dotgov","No","No","No","","","","","","No"
"adhdbehandlingslinje.no","adhdbehandlingslinje.no","http://adhdbehandlingslinje.no","","Sykehuset Østfold Hf","","Yes","dotgov","No","No","No","","","","","","No"
"adila.no","adila.no","http://adila.no","","Universitetet I Agder","","No","dotgov","No","No","No","Yes","No","No","No","No","No"
"adopsjon.no","adopsjon.no","http://adopsjon.no","","Barne-, Ungdoms- og Familiedirektoratet","","Yes","dotgov","No","No","No","","","","","","No"
"adr-rid.no","adr-rid.no","http://www.adr-rid.no","","Direktoratet For Samfunnssikkerhet og Beredskap (Dsb)","","Yes","dotgov","No","No","No","","","","","","No"
"adrrid.no","adrrid.no","http://www.adrrid.no","","Direktoratet For Samfunnssikkerhet og Beredskap (Dsb)","","Yes","dotgov","No","No","No","","","","","","No"
