"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"02012.no","02012.no","http://www.02012.no","","Statens Vegvesen","","Yes","dotgov","No","No","No","","","","","","No"
"02030.no","02030.no","http://www.02030.no","","Statens Vegvesen","","Yes","dotgov","No","No","No","","","","","","No"
"02111.no","02111.no","http://02111.no","","Skatt Øst","","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"02233.no","02233.no","http://www.02233.no","","Statens Vegvesen","","Yes","dotgov","No","No","No","","","","","","No"
"04726.no","04726.no","http://04726.no","","Gran Kommune","Oppland","Yes","dotgov","No","No","No","","","","","","No"
"04812.no","04812.no","http://04812.no","","Toll- og Avgiftsdirektoratet","","Yes","dotgov","No","No","No","","","","","","No"
"0534.no","0534.no","http://0534.no","","Gran Kommune","Oppland","Yes","dotgov","No","No","No","","","","","","No"
"06640.no","06640.no","http://www.06640.no","","Statens Vegvesen","","Yes","dotgov","No","No","No","","","","","","No"
"0728.no","0728.no","http://0728.no","","Lardal Kommune","Vestfold","Yes","dotgov","No","No","No","Yes","No","No","No","No","No"
"0gran.no","0gran.no","http://0gran.no","","Gran Kommune","Oppland","Yes","dotgov","No","No","No","","","","","","No"
"10-13.no","10-13.no","https://www.10-13.no","","Høybråten, Fossum og Stovner Sokn","Oslo","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"100prosentrisor.no","100prosentrisor.no","http://100prosentrisor.no","","Risør Kommune","Aust-Agder","Yes","dotgov","No","No","No","","","","","","No"
"110-finnmark.no","110-finnmark.no","http://www.110-finnmark.no","","Hammerfest Kommune","Finnmark","No","dotgov","No","No","No","Yes","No","No","No","No","No"
"110-namsos.no","110-namsos.no","https://110-namsos.no","","Namsos Kommune","Nord-Trøndelag","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"110-saltenbrann.no","110-saltenbrann.no","http://110-saltenbrann.no","","Salten Brann Iks","Nordland","Yes","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"110-troms.no","110-troms.no","https://110-troms.no","","Tromsø Kommune","Troms","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"110-trondelag.no","110-trondelag.no","http://110-trondelag.no","","Trøndelag Brann- og Redningstjeneste Iks","Sør-Trøndelag","Yes","dotgov","No","No","No","No","Yes","No","No","No","No"
"110.no","110.no","http://www.110.no","","Direktoratet For Samfunnssikkerhet og Beredskap (Dsb)","","Yes","dotgov","No","No","No","","","","","","No"
"110agder.no","110agder.no","http://110agder.no","","Arendal Kommune","Aust-Agder","No","dotgov","No","No","No","","","","","","No"
"110telemark.no","110telemark.no","http://www.110telemark.no","","Skien Kommune","Telemark","No","dotgov","No","No","No","","","","","","No"
"112.no","112.no","http://112.no","","Justis- og Beredskapsdepartementet","","Yes","dotgov","No","No","No","","","","","","No"
"113-midtnorge.no","113-midtnorge.no","http://www.113-midtnorge.no","","St Olavs Hospital Hf","","No","dotgov","No","No","No","","","","","","No"
"113.no","113.no","https://www.113.no","","Helsedirektoratet","","No","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"11rumselev.no","11rumselev.no","http://www.11rumselev.no","","Elverum Kommune","Hedmark","No","dotgov","No","No","No","","","","","","No"
"12k.no","12k.no","http://12k.no","","Re Kommune","Vestfold","No","dotgov","No","No","No","","","","","","No"
"13-20.no","13-20.no","https://www.13-20.no","","Bærum Kirkelige Fellesråd","Akershus","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"1414.no","1414.no","http://1414.no","","Nordre Land Kommune","Oppland","No","dotgov","No","No","No","","","","","","No"
"1422.no","1422.no","http://1422.no","","Lærdal Kommune","Sogn og Fjordane","No","dotgov","No","No","No","","","","","","No"
"1601.no","1601.no","http://1601.no","","Trondheim Kommune Kultur og Næring","Sør-Trøndelag","No","dotgov","No","No","No","","","","","","No"
"1700-tallet.no","1700-tallet.no","http://www.1700-tallet.no","","Universitetet I Oslo","","No","dotgov","No","No","Yes","Yes","No","No","No","No","No"
"175.no","175.no","http://www.175.no","","Statens Vegvesen","","Yes","dotgov","No","No","No","","","","","","No"
"177troms.no","177troms.no","http://177troms.no","","Troms Fylkeskommune","Troms","Yes","dotgov","No","No","No","","","","","","No"
"1bo.no","1bo.no","http://1bo.no","","Kristiansand Kommune","Vest-Agder","Yes","dotgov","No","No","No","","","","","","No"
"2-tusen.no","2-tusen.no","http://2-tusen.no","","Statped","","No","dotgov","No","No","No","Yes","No","No","No","No","No"
"2030stiklestad.no","2030stiklestad.no","http://2030stiklestad.no","","Stiklestad Nasjonale Kultursenter AS","Nord-Trøndelag","No","dotgov","No","No","No","","","","","","No"
"2282.no","2282.no","http://www.2282.no","","Statens Vegvesen","","Yes","dotgov","No","No","No","","","","","","No"
"22julikommisjonen.no","22julikommisjonen.no","http://22julikommisjonen.no","","Statsministerens Kontor","","Yes","dotgov","No","No","No","","","","","","No"
